Image,Label
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1299$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1301$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1635$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1607$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1329$true.png,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1293$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1716$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1382$true.png,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1388$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1402$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1778$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1588$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1147$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1486$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1767$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1683$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1723$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1246$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1613$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1244$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1634$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1208$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1465$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1715$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1566$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1157$true.png,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1334$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1734$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1672$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1438$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1755$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1537$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1751$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1443$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1345$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1677$true.png,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1742$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1531$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1429$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1743$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1153$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1581$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1729$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1283$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1261$true.png,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1557$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1248$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1676$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1466$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1769$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1315$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1639$true.png,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1620$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1519$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1403$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1522$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1297$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1450$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1383$true.png,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1526$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1317$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1419$true.png,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1649$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1713$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1161$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1476$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1629$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1191$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1393$true.jpg,GBA true
/home/bruno/Desktop/VISIOPE/Stacked Data/GBA true/1156$true.png,GBA true
